time	species	protein	transcript	ribo_density
46.999525	proteinP	21.000000	1.000000	12.000000
48.000092	__proteinP_rbs	1.000000	0.000000	0.000000
48.000092	__ribosome	87.000000	0.000000	0.000000
48.000092	proteinP	21.000000	1.000000	13.000000
49.002400	__proteinP_rbs	1.000000	0.000000	0.000000
49.002400	__ribosome	88.000000	0.000000	0.000000
49.002400	proteinP	22.000000	1.000000	12.000000
49.999073	__proteinP_rbs	1.000000	0.000000	0.000000
49.999073	__ribosome	87.000000	0.000000	0.000000
49.999073	proteinP	22.000000	1.000000	13.000000
51.004184	__proteinP_rbs	0.000000	0.000000	0.000000
51.004184	__ribosome	87.000000	0.000000	0.000000
51.004184	proteinP	23.000000	1.000000	13.000000
51.999028	__proteinP_rbs	0.000000	0.000000	0.000000
51.999028	__ribosome	87.000000	0.000000	0.000000
51.999028	proteinP	24.000000	1.000000	13.000000
53.001451	__proteinP_rbs	1.000000	0.000000	0.000000
53.001451	__ribosome	88.000000	0.000000	0.000000
53.001451	proteinP	25.000000	1.000000	12.000000
53.999638	__proteinP_rbs	1.000000	0.000000	0.000000
53.999638	__ribosome	88.000000	0.000000	0.000000
53.999638	proteinP	26.000000	1.000000	12.000000
54.999980	__proteinP_rbs	0.000000	0.000000	0.000000
54.999980	__ribosome	88.000000	0.000000	0.000000
54.999980	proteinP	27.000000	1.000000	12.000000
56.009314	__proteinP_rbs	0.000000	0.000000	0.000000
56.009314	__ribosome	87.000000	0.000000	0.000000
56.009314	proteinP	27.000000	1.000000	13.000000
57.004011	__proteinP_rbs	0.000000	0.000000	0.000000
57.004011	__ribosome	87.000000	0.000000	0.000000
57.004011	proteinP	28.000000	1.000000	13.000000
58.007798	__proteinP_rbs	0.000000	0.000000	0.000000
58.007798	__ribosome	87.000000	0.000000	0.000000
58.007798	proteinP	29.000000	1.000000	13.000000
59.007082	__proteinP_rbs	1.000000	0.000000	0.000000
59.007082	__ribosome	87.000000	0.000000	0.000000
59.007082	proteinP	29.000000	1.000000	13.000000
60.005289	__proteinP_rbs	0.000000	0.000000	0.000000
60.005289	__ribosome	87.000000	0.000000	0.000000
60.005289	proteinP	30.000000	1.000000	13.000000
61.006241	__proteinP_rbs	0.000000	0.000000	0.000000
61.006241	__ribosome	86.000000	0.000000	0.000000
61.006241	proteinP	30.000000	1.000000	14.000000
62.002907	__proteinP_rbs	0.000000	0.000000	0.000000
62.002907	__ribosome	85.000000	0.000000	0.000000
62.002907	proteinP	30.000000	1.000000	15.000000
63.007137	__proteinP_rbs	0.000000	0.000000	0.000000
63.007137	__ribosome	85.000000	0.000000	0.000000
63.007137	proteinP	31.000000	1.000000	15.000000
64.007064	__proteinP_rbs	0.000000	0.000000	0.000000
64.007064	__ribosome	85.000000	0.000000	0.000000
64.007064	proteinP	32.000000	1.000000	15.000000
64.999058	__proteinP_rbs	0.000000	0.000000	0.000000
64.999058	__ribosome	84.000000	0.000000	0.000000
64.999058	proteinP	32.000000	1.000000	16.000000
65.999214	__proteinP_rbs	0.000000	0.000000	0.000000
65.999214	__ribosome	85.000000	0.000000	0.000000
65.999214	proteinP	34.000000	1.000000	15.000000
67.000760	__proteinP_rbs	0.000000	0.000000	0.000000
67.000760	__ribosome	85.000000	0.000000	0.000000
67.000760	proteinP	35.000000	1.000000	15.000000
68.000797	__proteinP_rbs	1.000000	0.000000	0.000000
68.000797	__ribosome	85.000000	0.000000	0.000000
68.000797	proteinP	35.000000	1.000000	15.000000
69.004660	__proteinP_rbs	1.000000	0.000000	0.000000
69.004660	__ribosome	85.000000	0.000000	0.000000
69.004660	proteinP	36.000000	1.000000	15.000000
69.999030	__proteinP_rbs	1.000000	0.000000	0.000000
69.999030	__ribosome	85.000000	0.000000	0.000000
69.999030	proteinP	37.000000	1.000000	15.000000
71.001836	__proteinP_rbs	0.000000	0.000000	0.000000
71.001836	__ribosome	85.000000	0.000000	0.000000
71.001836	proteinP	38.000000	1.000000	15.000000
71.999535	__proteinP_rbs	1.000000	0.000000	0.000000
71.999535	__ribosome	86.000000	0.000000	0.000000
71.999535	proteinP	39.000000	1.000000	14.000000
73.003622	__proteinP_rbs	1.000000	0.000000	0.000000
73.003622	__ribosome	86.000000	0.000000	0.000000
73.003622	proteinP	39.000000	1.000000	14.000000
74.022084	__proteinP_rbs	0.000000	0.000000	0.000000
74.022084	__ribosome	86.000000	0.000000	0.000000
74.022084	proteinP	40.000000	1.000000	14.000000
75.001418	__proteinP_rbs	1.000000	0.000000	0.000000
75.001418	__ribosome	86.000000	0.000000	0.000000
75.001418	proteinP	40.000000	1.000000	14.000000
76.000376	__proteinP_rbs	1.000000	0.000000	0.000000
76.000376	__ribosome	86.000000	0.000000	0.000000
76.000376	proteinP	40.000000	1.000000	14.000000
76.999378	__proteinP_rbs	0.000000	0.000000	0.000000
76.999378	__ribosome	86.000000	0.000000	0.000000
76.999378	proteinP	41.000000	1.000000	14.000000
78.005818	__proteinP_rbs	0.000000	0.000000	0.000000
78.005818	__ribosome	86.000000	0.000000	0.000000
78.005818	proteinP	42.000000	1.000000	14.000000
78.999198	__proteinP_rbs	1.000000	0.000000	0.000000
78.999198	__ribosome	87.000000	0.000000	0.000000
78.999198	proteinP	43.000000	1.000000	13.000000
80.005007	__proteinP_rbs	0.000000	0.000000	0.000000
80.005007	__ribosome	87.000000	0.000000	0.000000
80.005007	proteinP	44.000000	1.000000	13.000000
81.006013	__proteinP_rbs	0.000000	0.000000	0.000000
81.006013	__ribosome	87.000000	0.000000	0.000000
81.006013	proteinP	45.000000	1.000000	13.000000
82.002240	__proteinP_rbs	0.000000	0.000000	0.000000
82.002240	__ribosome	88.000000	0.000000	0.000000
82.002240	proteinP	46.000000	1.000000	12.000000
83.008906	__proteinP_rbs	0.000000	0.000000	0.000000
83.008906	__ribosome	89.000000	0.000000	0.000000
83.008906	proteinP	48.000000	1.000000	11.000000
83.999429	__proteinP_rbs	1.000000	0.000000	0.000000
83.999429	__ribosome	90.000000	0.000000	0.000000
83.999429	proteinP	49.000000	1.000000	10.000000
85.002662	__proteinP_rbs	1.000000	0.000000	0.000000
85.002662	__ribosome	90.000000	0.000000	0.000000
85.002662	proteinP	49.000000	1.000000	10.000000
85.999295	__proteinP_rbs	1.000000	0.000000	0.000000
85.999295	__ribosome	90.000000	0.000000	0.000000
85.999295	proteinP	50.000000	1.000000	10.000000
87.002681	__proteinP_rbs	1.000000	0.000000	0.000000
87.002681	__ribosome	91.000000	0.000000	0.000000
87.002681	proteinP	51.000000	1.000000	9.000000
88.005403	__proteinP_rbs	0.000000	0.000000	0.000000
88.005403	__ribosome	91.000000	0.000000	0.000000
88.005403	proteinP	52.000000	1.000000	9.000000
89.002095	__proteinP_rbs	1.000000	0.000000	0.000000
89.002095	__ribosome	92.000000	0.000000	0.000000
89.002095	proteinP	53.000000	1.000000	8.000000
89.999089	__proteinP_rbs	1.000000	0.000000	0.000000
89.999089	__ribosome	91.000000	0.000000	0.000000
89.999089	proteinP	53.000000	1.000000	9.000000
90.999982	__proteinP_rbs	1.000000	0.000000	0.000000
90.999982	__ribosome	91.000000	0.000000	0.000000
90.999982	proteinP	54.000000	1.000000	9.000000
