time	species	protein	transcript	ribo_density
77.999291	__ribosome	87.000000	0.000000	0.000000
77.999291	proteinP	39.000000	1.000000	13.000000
79.002298	__proteinP_rbs	1.000000	0.000000	0.000000
79.002298	__ribosome	87.000000	0.000000	0.000000
79.002298	proteinP	39.000000	1.000000	13.000000
80.003438	__proteinP_rbs	0.000000	0.000000	0.000000
80.003438	__ribosome	87.000000	0.000000	0.000000
80.003438	proteinP	40.000000	1.000000	13.000000
81.000840	__proteinP_rbs	0.000000	0.000000	0.000000
81.000840	__ribosome	87.000000	0.000000	0.000000
81.000840	proteinP	41.000000	1.000000	13.000000
81.999971	__proteinP_rbs	0.000000	0.000000	0.000000
81.999971	__ribosome	87.000000	0.000000	0.000000
81.999971	proteinP	42.000000	1.000000	13.000000
82.999467	__proteinP_rbs	0.000000	0.000000	0.000000
82.999467	__ribosome	86.000000	0.000000	0.000000
82.999467	proteinP	42.000000	1.000000	14.000000
84.001539	__proteinP_rbs	1.000000	0.000000	0.000000
84.001539	__ribosome	86.000000	0.000000	0.000000
84.001539	proteinP	42.000000	1.000000	14.000000
84.999028	__proteinP_rbs	1.000000	0.000000	0.000000
84.999028	__ribosome	87.000000	0.000000	0.000000
84.999028	proteinP	43.000000	1.000000	13.000000
86.002048	__proteinP_rbs	0.000000	0.000000	0.000000
86.002048	__ribosome	86.000000	0.000000	0.000000
86.002048	proteinP	44.000000	1.000000	14.000000
87.003352	__proteinP_rbs	0.000000	0.000000	0.000000
87.003352	__ribosome	87.000000	0.000000	0.000000
87.003352	proteinP	45.000000	1.000000	13.000000
88.000951	__proteinP_rbs	1.000000	0.000000	0.000000
88.000951	__ribosome	86.000000	0.000000	0.000000
88.000951	proteinP	45.000000	1.000000	14.000000
89.010289	__proteinP_rbs	1.000000	0.000000	0.000000
89.010289	__ribosome	87.000000	0.000000	0.000000
89.010289	proteinP	46.000000	1.000000	13.000000
89.999849	__proteinP_rbs	0.000000	0.000000	0.000000
89.999849	__ribosome	87.000000	0.000000	0.000000
89.999849	proteinP	47.000000	1.000000	13.000000
91.029565	__proteinP_rbs	0.000000	0.000000	0.000000
91.029565	__ribosome	87.000000	0.000000	0.000000
91.029565	proteinP	48.000000	1.000000	13.000000
92.000318	__proteinP_rbs	1.000000	0.000000	0.000000
92.000318	__ribosome	88.000000	0.000000	0.000000
92.000318	proteinP	49.000000	1.000000	12.000000
93.003342	__proteinP_rbs	1.000000	0.000000	0.000000
93.003342	__ribosome	88.000000	0.000000	0.000000
93.003342	proteinP	49.000000	1.000000	12.000000
94.006210	__proteinP_rbs	0.000000	0.000000	0.000000
94.006210	__ribosome	88.000000	0.000000	0.000000
94.006210	proteinP	50.000000	1.000000	12.000000
95.000096	__proteinP_rbs	0.000000	0.000000	0.000000
95.000096	__ribosome	87.000000	0.000000	0.000000
95.000096	proteinP	50.000000	1.000000	13.000000
96.001067	__proteinP_rbs	0.000000	0.000000	0.000000
96.001067	__ribosome	89.000000	0.000000	0.000000
96.001067	proteinP	52.000000	1.000000	11.000000
97.000561	__proteinP_rbs	0.000000	0.000000	0.000000
97.000561	__ribosome	88.000000	0.000000	0.000000
97.000561	proteinP	52.000000	1.000000	12.000000
98.006056	__proteinP_rbs	0.000000	0.000000	0.000000
98.006056	__ribosome	88.000000	0.000000	0.000000
98.006056	proteinP	53.000000	1.000000	12.000000
99.005448	__proteinP_rbs	1.000000	0.000000	0.000000
99.005448	__ribosome	89.000000	0.000000	0.000000
99.005448	proteinP	54.000000	1.000000	11.000000
