Generation,RBS,ORF,Terminator 
651,5,31,23
652,5,31,23
653,5,31,23
654,5,32,23
655,5,32,22
656,5,32,22
657,5,32,22
658,5,32,22
659,5,32,23
660,5,32,22
661,5,32,22
662,5,32,22
663,5,32,22
664,5,32,22
665,5,32,22
666,5,32,22
667,5,32,22
668,5,32,22
669,5,31,22
670,5,31,22
671,5,31,22
672,5,32,22
673,5,32,22
674,5,31,22
675,5,32,22
676,5,32,22
677,5,32,22
678,5,32,23
679,5,32,23
680,5,32,23
681,5,31,23
682,5,31,24
683,5,31,24
684,5,31,24
685,5,31,25
686,5,31,25
687,4,31,25
688,4,31,25
689,3,31,25
690,3,32,25
691,3,33,25
692,3,33,25
693,3,33,26
694,3,33,25
695,3,33,25
696,3,33,25
697,3,34,25
698,3,34,24
699,3,34,25
700,3,34,25
701,3,35,25
702,3,35,25
703,3,35,25
704,3,35,24
705,4,35,24
706,4,35,25
707,4,35,25
708,4,35,25
709,4,35,25
710,4,35,26
711,4,34,26
712,4,34,26
713,4,34,26
714,4,35,26
715,4,34,26
716,4,34,26
717,4,33,26
718,4,33,26
719,4,33,27
720,4,34,27
721,4,34,26
722,4,34,25
723,4,33,25
724,4,33,25
725,4,33,26
726,4,34,26
727,4,34,26
728,5,34,26
729,5,34,26
730,5,34,25
731,5,34,25
732,5,34,26
733,5,34,27
734,5,35,27
735,5,35,27
736,5,35,27
737,5,34,27
738,5,34,28
739,5,34,28
740,5,35,28
741,5,35,28
742,5,35,28
743,5,35,28
744,5,35,28
745,5,35,28
746,5,35,29
747,5,35,29
748,5,35,29
749,5,35,28
750,5,36,28
751,5,35,28
752,5,34,28
753,5,34,27
754,5,34,27
755,5,34,26
756,5,34,26
757,5,34,26
758,5,34,26
759,5,33,26
760,5,33,26
761,5,32,26
762,5,32,26
763,5,32,27
764,5,32,27
765,5,31,27
766,5,32,27
767,5,32,27
768,5,32,26
769,5,32,26
770,5,32,26
771,5,33,26
772,5,33,26
773,5,34,26
774,5,34,25
775,5,33,25
776,5,33,25
777,5,34,25
778,5,35,25
779,5,36,25
780,5,36,25
781,5,36,26
782,5,35,26
783,5,35,26
784,5,35,27
785,5,34,27
786,5,34,27
787,5,34,27
788,5,33,27
789,5,32,27
790,5,33,27
791,5,33,27
792,5,33,27
